date,open,high,low,close,volume
2016/8/17,3252.64,3260.26,3235.11,3255.33,21351.68
2016/8/18,3253.43,3272.14,3238.24,3249.58,22891.56
2016/8/19,3245.66,3259.28,3227.2,3253.77,19409.72
2016/8/22,3253.02,3258.64,3228.08,3229.34,18504.72
2016/8/23,3225.95,3246.45,3217.54,3234.51,16111.51
2016/8/24,3236.94,3242.3,3223.86,3230.51,14541.31
2016/8/25,3217.45,3217.45,3183.98,3212.09,17366.22
2016/8/26,3213.69,3232.34,3207.41,3214.14,14939.39
2016/8/29,3212.2,3218.98,3202.03,3213.82,14427.01
2016/8/30,3215.31,3227.43,3209.57,3218.71,14021.67
2016/8/31,3216.87,3232.37,3206.88,3230.05,14110.26
2016/9/1,3228.45,3233.43,3206.35,3206.79,15495.97
2016/9/2,3200.69,3216.46,3193.35,3211.05,15026.21
2016/9/5,3214.56,3230.05,3208.9,3216.02,14476.68
2016/9/6,3214.92,3240.57,3196.18,3235.51,17262.01
2016/9/7,3236.15,3251.19,3232.52,3236.77,18657.49
2016/9/8,3234.69,3241.84,3228.33,3240.97,14562.97
2016/9/9,3240.41,3247.09,3222.35,3223.02,16036.04
2016/9/12,3179.66,3183.28,3140.26,3163.43,20540.72
2016/9/13,3166.64,3171.52,3149.5,3165,13517.86
2016/9/14,3149.65,3159.14,3135.5,3143.28,13314.2
2016/9/19,3145.9,3168.25,3145.9,3167.63,11901.82
2016/9/20,3168.81,3169.49,3156.96,3164.44,11873.99
2016/9/21,3162.94,3174.35,3158.71,3167.45,11549.34
2016/9/22,3180.62,3197.38,3177.07,3184.67,13896.12
2016/9/23,3187.27,3189.38,3174.73,3175.88,12511.41
2016/9/26,3169.95,3169.95,3119.54,3119.87,14385.2
2016/9/27,3113.75,3138.53,3108.02,3138.48,12138.41
2016/9/28,3141.13,3141.13,3123.88,3127.59,10428.44
2016/9/29,3132.1,3149.93,3131.83,3138.66,11279.21
2016/9/30,3134.22,3149.9,3132.97,3145.17,10097.8
2016/10/10,3161.69,3190.82,3155.55,3190.72,15951.49
2016/10/11,3194.37,3209.56,3190.58,3208.67,16676.25
2016/10/12,3200.34,3203.7,3191.51,3201.59,14212.81
2016/10/13,3201.04,3208.37,3195.41,3204.53,15433.57
2016/10/14,3199.96,3208.19,3185.53,3207.16,15504.67
2016/10/17,3208.09,3212.41,3176.41,3184.15,16200.86
2016/10/18,3180.18,3229.06,3180.18,3228.73,18102.7
2016/10/19,3230.7,3241.64,3221.33,3229.68,18173.49
2016/10/20,3229.88,3234.88,3220.82,3229.37,16031.49
2016/10/21,3226.14,3247.64,3213.54,3236.31,18682.33
2016/10/24,3237.44,3284.49,3236.03,3275.26,23988.22
2016/10/25,3274.96,3279.73,3267.69,3279.1,20284.71
2016/10/26,3276.91,3276.91,3256.51,3262.73,19127.61
2016/10/27,3258.84,3261.1,3246.04,3258.56,15763.68
2016/10/28,3257.88,3275.67,3246.97,3250.16,18141.59
2016/10/31,3242.73,3248.14,3225.9,3246.25,15116.63
2016/11/1,3247.48,3269.43,3242.62,3269.24,15990.17
2016/11/2,3262.2,3265.61,3245.51,3248.57,18239.28
2016/11/3,3242.29,3288.62,3239.51,3276.06,22249.03
2016/11/4,3273.34,3289.04,3266.19,3272.24,19733.82
2016/11/7,3271.8,3286.81,3263.64,3280.65,17909.56
2016/11/8,3288.65,3305.34,3282.33,3295.92,19047.06
2016/11/9,3294.02,3294.93,3242.51,3275.47,24067.47
2016/11/10,3296.66,3321.47,3296.66,3320.4,24363.11
2016/11/11,3318.42,3353.34,3314.92,3346.31,31016.47
2016/11/14,3337.57,3372.97,3336.62,3361.35,32897.39
2016/11/15,3360.92,3365.46,3345.23,3357.77,24032.39
2016/11/16,3359.37,3361.88,3345.59,3355.71,22120.49
2016/11/17,3348.82,3362.02,3337.01,3359.3,21373.3
2016/11/18,3357.99,3363.46,3337.37,3342.99,20937.39
2016/11/21,3338.41,3381.7,3338.2,3369.53,23023.27
2016/11/22,3372.5,3402.58,3372.5,3401.19,26116.61
2016/11/23,3400.76,3416.44,3383.64,3393.66,24959.22
2016/11/24,3389.77,3411.22,3385.01,3394.32,23200.95
2016/11/25,3393.81,3416.07,3360.65,3415.54,23351.74
2016/11/28,3424.06,3443.26,3421.55,3431.35,28123.97
2016/11/29,3423.18,3456.92,3417.07,3437.75,32034.75
2016/11/30,3426.41,3431.81,3392.18,3403.22,24318.2
2016/12/1,3410.56,3434.32,3409.72,3427.64,23755.83
2016/12/2,3424.29,3434.36,3387.7,3396.71,25930.8
2016/12/5,3354.64,3371.14,3345.3,3355.63,22272.24
2016/12/6,3352.81,3366.71,3346.98,3350.25,15727.28
2016/12/7,3349.02,3374.12,3339.57,3373.92,16881.66
2016/12/8,3377.39,3380.09,3362.63,3366.7,17044.45
2016/12/9,3360.38,3397.66,3357.98,3385.15,20376.29
2016/12/12,3385.98,3397.98,3298.18,3301.41,27410.48
2016/12/13,3286.72,3311.35,3265.41,3303.52,18476.99
2016/12/14,3297.57,3319.2,3283.9,3288.25,20089.01
2016/12/15,3272.73,3286.42,3246.62,3264.22,18958.28
2016/12/16,3257.74,3275.95,3252.31,3269.75,16454.47
2016/12/19,3267.33,3272.17,3256.22,3264.67,15374.24
2016/12/20,3262.39,3263.56,3229.8,3248.78,15714.81
2016/12/21,3253.36,3288.01,3253.36,3285.04,18646.31
2016/12/22,3279.5,3291.01,3273.94,3287.22,16746.34
2016/12/23,3282.36,3286.02,3249.69,3256.41,16587.46
2016/12/26,3241.13,3269.77,3212.59,3269.44,15232.03
