Date,Open,High,Low,Close, Volume,Turnover
20091120,3625.98,3650.13,3603.90,3629.09,13245192740.00,1611.05
20091123,3627.67,3668.79,3627.67,3668.79,12757686133.00,1660.29
20091124,3683.10,3694.58,3535.64,3535.64,18763168381.00,2365.81
20091125,3529.36,3623.71,3524.50,3623.71,14559359922.00,1828.56
20091126,3629.12,3637.72,3463.18,3475.69,16628512248.00,2120.30
20091127,3432.90,3473.06,3385.18,3385.60,11482409724.00,1464.08
20091130,3417.50,3519.33,3417.50,3519.33,10846053993.00,1387.86
20091201,3515.75,3576.24,3501.46,3576.24,13186373971.00,1662.55
20091202,3593.68,3618.00,3586.61,3609.57,13367024607.00,1667.30
20091203,3606.43,3608.01,3565.81,3604.55,12024338024.00,1507.58
20091204,3596.47,3640.41,3537.51,3637.01,16805037507.00,2147.91
20091207,3639.94,3667.15,3631.34,3667.15,11305184938.00,1490.41
20091208,3669.21,3669.21,3604.30,3625.60,10676341213.00,1369.03
20091209,3583.10,3608.98,3551.52,3561.94,9167014307.00,1169.48
20091210,3586.00,3603.86,3559.12,3586.50,7601013500.00,973.18
20091211,3597.73,3618.62,3580.95,3584.10,7329602583.00,913.94
20091214,3581.55,3616.08,3505.03,3613.55,9840693154.00,1242.69
20091215,3598.55,3623.91,3589.70,3595.25,8370769048.00,1102.41
20091216,3580.83,3617.20,3568.16,3574.37,7307293410.00,955.20
20091217,3582.38,3583.29,3490.30,3490.30,8163797683.00,1037.25
20091218,3460.05,3460.05,3400.66,3403.80,8105123965.00,1010.41
20091221,3398.24,3414.10,3374.64,3414.05,6060889323.00,797.81
20091222,3419.21,3419.21,3323.65,3329.38,6853229106.00,886.96
20091223,3327.44,3366.48,3326.19,3366.48,6223270252.00,811.20
20091224,3375.28,3469.29,3371.23,3468.19,8252971381.00,1117.85
20091225,3463.46,3473.99,3450.56,3461.01,6680327666.00,890.12
20091228,3469.54,3520.84,3469.54,3514.53,7433460797.00,976.56
20091229,3517.58,3537.25,3492.13,3537.25,7560137097.00,988.12
20091230,3539.28,3585.64,3538.22,3585.64,10659311849.00,1439.63
20091231,3587.38,3606.09,3572.08,3605.70,8821218866.00,1185.51
20100104,3622.69,3622.69,3576.41,3576.41,9085288975.00,1200.92
20100105,3585.00,3608.19,3547.09,3605.88,10732181298.00,1477.37
20100106,3600.69,3622.62,3582.73,3582.73,10224093547.00,1426.97
20100107,3581.73,3592.19,3495.15,3508.61,10502694104.00,1434.87
20100108,3488.12,3524.46,3471.83,3523.95,7932083019.00,1074.68
20100111,3624.94,3624.94,3517.34,3533.43,11448875950.00,1576.23
20100112,3528.60,3591.51,3496.77,3591.51,12038555123.00,1619.70
20100113,3506.93,3558.09,3488.66,3494.25,13980174348.00,1881.80
20100114,3506.75,3553.80,3500.91,3553.33,11710568974.00,1552.11
20100115,3557.30,3577.37,3537.44,3566.95,9798920866.00,1331.04
20100118,3556.85,3592.41,3547.65,3592.41,11025777150.00,1482.99
20100119,3597.81,3611.87,3586.94,3596.13,10438554250.00,1395.14
20100120,3599.94,3599.94,3470.65,3476.27,12611085704.00,1649.98
20100121,3470.02,3509.68,3451.63,3492.08,9152200011.00,1222.37
20100122,3448.03,3471.22,3376.49,3443.11,11320266595.00,1428.49
20100125,3434.17,3453.45,3401.34,3401.34,6653915556.00,833.18
20100126,3403.81,3403.81,3293.94,3314.04,7844072603.00,983.72
20100127,3314.45,3322.93,3266.95,3272.93,6627850556.00,844.63
20100128,3271.13,3302.09,3250.41,3290.72,6007037752.00,778.58
20100129,3275.23,3338.85,3271.76,3296.25,6841671867.00,882.96
20100201,3291.11,3291.11,3219.49,3249.69,7555886591.00,967.81
20100202,3265.90,3303.17,3239.55,3239.55,6445377231.00,844.29
20100203,3251.35,3314.98,3193.15,3314.98,8280776870.00,1060.45
20100204,3292.99,3334.11,3278.18,3311.13,8056901171.00,981.85
20100205,3240.13,3269.58,3225.77,3246.66,7952757435.00,957.86
20100208,3244.46,3264.46,3230.27,3243.85,5145643434.00,630.69
20100209,3251.08,3268.08,3240.31,3259.36,4840617289.00,567.83
20100210,3283.41,3304.30,3274.92,3304.30,4423344035.00,586.64
20100211,3306.24,3322.63,3302.67,3306.50,4442484506.00,557.19
20100212,3317.87,3341.28,3317.16,3340.35,4378500689.00,570.00
20100222,3337.64,3352.56,3323.76,3325.72,5087827239.00,633.00
20100223,3318.75,3318.75,3256.94,3304.73,6214752845.00,830.99
20100224,3284.22,3354.08,3282.31,3354.08,7120691264.00,882.44
20100225,3361.38,3401.67,3361.38,3401.04,9014139335.00,1145.71
20100226,3394.21,3411.13,3389.27,3393.73,7242717081.00,927.95
20100301,3400.70,3439.29,3400.70,3435.80,8246784069.00,1047.24
20100302,3438.60,3450.51,3412.90,3425.92,8052487622.00,1019.31
20100303,3427.34,3454.35,3411.81,3454.35,9039462766.00,1118.27
20100304,3457.56,3463.21,3353.54,3359.89,9766062519.00,1209.82
20100305,3362.45,3386.53,3346.63,3370.19,6823104023.00,829.86
20100308,3378.69,3404.14,3375.08,3397.86,6048354185.00,747.64
20100309,3397.13,3423.35,3374.34,3410.99,6948553027.00,873.96
20100310,3416.37,3423.15,3369.78,3381.73,6622511431.00,827.03
20100311,3383.98,3399.56,3352.22,3374.88,6148182925.00,776.35
20100312,3381.78,3381.78,3330.22,3330.22,5317241647.00,661.19
20100315,3328.14,3328.14,3273.30,3284.13,4949611807.00,613.86
20100316,3284.20,3306.33,3269.61,3306.33,4209116268.00,528.49
20100317,3315.54,3381.46,3313.65,3381.46,6548037500.00,836.30
20100318,3386.83,3400.28,3369.37,3376.10,6995439420.00,876.93
20100319,3378.95,3400.80,3362.46,3399.99,6646162309.00,831.82
20100322,3404.52,3418.81,3395.91,3413.09,7313910496.00,905.24
20100323,3415.53,3417.50,3382.68,3384.73,6810819782.00,854.36
20100324,3390.88,3405.65,3385.12,3389.79,6692853476.00,835.42
20100325,3383.65,3383.65,3340.66,3343.02,6754923842.00,846.14
20100326,3339.32,3399.49,3337.16,3390.87,6911343523.00,863.96
20100329,3410.80,3466.57,3410.80,3465.11,10445907009.00,1305.61
20100330,3466.79,3477.58,3459.88,3474.65,7716106277.00,1011.63
20100331,3476.88,3476.88,3452.43,3458.85,7622875219.00,986.81
20100401,3462.42,3506.09,3462.42,3505.28,9620083118.00,1242.96
20100402,3512.56,3521.23,3505.28,3518.28,9500057497.00,1253.67
20100406,3532.34,3541.63,3498.31,3516.54,8519365074.00,1154.93
20100407,3514.98,3518.82,3488.37,3504.35,7347232978.00,992.01
20100408,3498.84,3500.79,3464.53,3472.34,8722243219.00,1183.17
20100409,3474.39,3511.34,3473.49,3511.34,7907572441.00,1094.48
20100412,3520.38,3523.04,3476.43,3499.68,10723426999.00,1461.47
20100413,3499.80,3537.87,3465.67,3525.98,11591087129.00,1608.72
20100414,3527.07,3543.00,3517.07,3543.00,8461542284.00,1198.72
20100415,3546.05,3550.03,3504.06,3525.82,8267313176.00,1151.80
20100416,3519.11,3519.11,3482.47,3492.53,6527098208.00,893.35
20100419,3451.97,3451.97,3319.38,3319.59,11082064320.00,1431.80
20100420,3319.65,3331.51,3286.45,3331.51,8564504692.00,1140.89
20100421,3336.74,3404.44,3336.74,3404.44,9785832096.00,1333.87
20100422,3390.91,3403.31,3351.96,3375.44,9976281783.00,1346.87
20100423,3371.36,3395.09,3339.15,3356.60,8546531157.00,1198.73
20100426,3361.22,3373.40,3339.88,3344.26,7221010937.00,1011.39
20100427,3335.00,3335.00,3229.28,3273.23,8696500697.00,1126.79
20100428,3241.87,3278.50,3231.88,3255.82,6343775527.00,847.44
20100429,3280.89,3281.85,3206.05,3206.05,6990045987.00,939.86
20100430,3204.18,3204.18,3145.83,3194.53,7337924513.00,938.91
20100504,3131.11,3190.03,3131.11,3155.86,5267284697.00,672.53
20100505,3118.50,3186.56,3097.22,3186.56,7515661693.00,984.92
20100506,3168.31,3168.31,3051.10,3051.17,7643939085.00,1014.79
20100507,2987.60,3046.88,2973.52,2994.88,7795561129.00,975.01
20100510,2998.72,3021.36,2940.05,2999.83,6634262989.00,843.21
20100511,3059.82,3059.82,2928.46,2935.92,7405663987.00,907.19
20100512,2914.67,2960.31,2885.40,2939.77,6622675930.00,782.99
20100513,2939.95,3013.33,2933.12,3013.33,6821479877.00,799.65
20100514,2992.30,3020.19,2978.89,3001.51,5774717416.00,695.29
20100517,2961.65,2961.65,2839.35,2839.35,6740927581.00,760.98
20100518,2834.07,2900.03,2805.38,2890.35,6799225814.00,744.97
